path_id,video_id,overlaps,channel_id,date
CC1C6IO_i9s:uYXJAuZyoa8,CC1C6IO_i9s,99,UCu17Sme-KE87ca9OTzP0p7g,2022-03-05
CC1C6IO_i9s:aeGD6v0eSC4,CC1C6IO_i9s,104,UCu17Sme-KE87ca9OTzP0p7g,2022-03-05
CC1C6IO_i9s:KtLd2KT5D2s,CC1C6IO_i9s,78,UCu17Sme-KE87ca9OTzP0p7g,2022-03-05
CC1C6IO_i9s:MMZUSTZ_PvM,CC1C6IO_i9s,76,UCu17Sme-KE87ca9OTzP0p7g,2022-03-05
CC1C6IO_i9s:A-JptG5rfgo,CC1C6IO_i9s,70,UCu17Sme-KE87ca9OTzP0p7g,2022-03-05
CC1C6IO_i9s:txgdJ9yVzMc,CC1C6IO_i9s,80,UCu17Sme-KE87ca9OTzP0p7g,2022-03-05
CC1C6IO_i9s:Cx5gnhv_wno,CC1C6IO_i9s,81,UCu17Sme-KE87ca9OTzP0p7g,2022-03-05
CC1C6IO_i9s:wot7_PaqdD8,CC1C6IO_i9s,288,UCu17Sme-KE87ca9OTzP0p7g,2022-03-05
CC1C6IO_i9s:VtgPYr8ggcI,CC1C6IO_i9s,75,UCu17Sme-KE87ca9OTzP0p7g,2022-03-05
CC1C6IO_i9s:FcgEP5V4PpI,CC1C6IO_i9s,81,UCu17Sme-KE87ca9OTzP0p7g,2022-03-05
CC1C6IO_i9s:84LhrZ-NN_E,CC1C6IO_i9s,91,UCu17Sme-KE87ca9OTzP0p7g,2022-03-05
uYXJAuZyoa8:aeGD6v0eSC4,uYXJAuZyoa8,74,UC9lJXqw4QZw-HWaZH6sN-xw,2022-03-05
uYXJAuZyoa8:KtLd2KT5D2s,uYXJAuZyoa8,94,UC9lJXqw4QZw-HWaZH6sN-xw,2022-03-05
uYXJAuZyoa8:zSNn0UTE4w0,uYXJAuZyoa8,90,UC9lJXqw4QZw-HWaZH6sN-xw,2022-03-05
uYXJAuZyoa8:MMZUSTZ_PvM,uYXJAuZyoa8,71,UC9lJXqw4QZw-HWaZH6sN-xw,2022-03-05
uYXJAuZyoa8:A-JptG5rfgo,uYXJAuZyoa8,123,UC9lJXqw4QZw-HWaZH6sN-xw,2022-03-05
uYXJAuZyoa8:txgdJ9yVzMc,uYXJAuZyoa8,94,UC9lJXqw4QZw-HWaZH6sN-xw,2022-03-05
uYXJAuZyoa8:Cx5gnhv_wno,uYXJAuZyoa8,99,UC9lJXqw4QZw-HWaZH6sN-xw,2022-03-05
uYXJAuZyoa8:wot7_PaqdD8,uYXJAuZyoa8,78,UC9lJXqw4QZw-HWaZH6sN-xw,2022-03-05
uYXJAuZyoa8:VtgPYr8ggcI,uYXJAuZyoa8,70,UC9lJXqw4QZw-HWaZH6sN-xw,2022-03-05
uYXJAuZyoa8:FcgEP5V4PpI,uYXJAuZyoa8,246,UC9lJXqw4QZw-HWaZH6sN-xw,2022-03-05
uYXJAuZyoa8:84LhrZ-NN_E,uYXJAuZyoa8,255,UC9lJXqw4QZw-HWaZH6sN-xw,2022-03-05
aeGD6v0eSC4:exKyJvhCrFs,aeGD6v0eSC4,51,UC4O9HKe9Jt5yAhKuNv3LXpQ,2022-03-05
aeGD6v0eSC4:KtLd2KT5D2s,aeGD6v0eSC4,74,UC4O9HKe9Jt5yAhKuNv3LXpQ,2022-03-05
aeGD6v0eSC4:MMZUSTZ_PvM,aeGD6v0eSC4,136,UC4O9HKe9Jt5yAhKuNv3LXpQ,2022-03-05
aeGD6v0eSC4:A-JptG5rfgo,aeGD6v0eSC4,103,UC4O9HKe9Jt5yAhKuNv3LXpQ,2022-03-05
aeGD6v0eSC4:-itkm17EulM,aeGD6v0eSC4,52,UC4O9HKe9Jt5yAhKuNv3LXpQ,2022-03-05
aeGD6v0eSC4:txgdJ9yVzMc,aeGD6v0eSC4,87,UC4O9HKe9Jt5yAhKuNv3LXpQ,2022-03-05
aeGD6v0eSC4:Cx5gnhv_wno,aeGD6v0eSC4,107,UC4O9HKe9Jt5yAhKuNv3LXpQ,2022-03-05
aeGD6v0eSC4:wot7_PaqdD8,aeGD6v0eSC4,456,UC4O9HKe9Jt5yAhKuNv3LXpQ,2022-03-05
aeGD6v0eSC4:VtgPYr8ggcI,aeGD6v0eSC4,80,UC4O9HKe9Jt5yAhKuNv3LXpQ,2022-03-05
aeGD6v0eSC4:FcgEP5V4PpI,aeGD6v0eSC4,85,UC4O9HKe9Jt5yAhKuNv3LXpQ,2022-03-05
aeGD6v0eSC4:84LhrZ-NN_E,aeGD6v0eSC4,89,UC4O9HKe9Jt5yAhKuNv3LXpQ,2022-03-05
exKyJvhCrFs:A-JptG5rfgo,exKyJvhCrFs,88,UCuQYHhF6on6EXXO-_i_ClHQ,2022-03-05
exKyJvhCrFs:-itkm17EulM,exKyJvhCrFs,181,UCuQYHhF6on6EXXO-_i_ClHQ,2022-03-05
exKyJvhCrFs:txgdJ9yVzMc,exKyJvhCrFs,70,UCuQYHhF6on6EXXO-_i_ClHQ,2022-03-05
KtLd2KT5D2s:MMZUSTZ_PvM,KtLd2KT5D2s,74,UCuMJPFqazQI4SofSFEd-5zA,2022-03-05
KtLd2KT5D2s:A-JptG5rfgo,KtLd2KT5D2s,85,UCuMJPFqazQI4SofSFEd-5zA,2022-03-05
KtLd2KT5D2s:txgdJ9yVzMc,KtLd2KT5D2s,98,UCuMJPFqazQI4SofSFEd-5zA,2022-03-05
